Country Name,Air Pollution,Energía renovable,Forest Area,Energía Fosil
Aruba,,692.750.154,233.333.326,
Afghanistan,590.103.303,193.142.686,206.782.465,
Angola,32.974.025,507.974.607,465.074.202,48.305.593
Albania,18.883.955,386.895.008,281.919.716,614.218.014
Andorra,108.304.182,198.863.229,340.425.532,
Arab World,525.836.028,417.001.747,169.467.462,954.783.428
United Arab Emirates,379.834.211,1.456.714,452.745.717,86.128.349
Argentina,144.669.804,109.019.579,100.153.108,877.224.075
Armenia,330.859.498,772.473.444,116.543.726,745.618.657
American Samoa,13.316.992,70.088.242,878.999.996,
Antigua and Barbuda,197.255.836,0,222.727.277,
Australia,949.297.875,927.819.846,161.986.645,933.868.357
Austria,133.792.279,353.942.733,468.620.875,648.131.565
Azerbaijan,207.100.675,211.681.862,134.664.854,9.836.599
Burundi,393.875.586,945.981.828,105.685.356,
Belgium,132.336.213,90.739.951,225.548.224,726.525.048
Benin,296.604.557,525.379.882,386.750.621,367.245.813
Burkina Faso,339.690.932,752.426.491,197.726.601,
Bangladesh,683.953.774,376.344.835,109.979.256,737.689.379
Bulgaria,2.074.357,169.666.248,350.571.117,710.459.225
Bahrain,627.585.437,0,76.523.993,993.658.472
"Bahamas, The",184.953.333,108.880.277,514.485.514,
Bosnia and Herzegovina,287.773.251,417.454.628,426.757.813,77.522.045
Belarus,197.660.537,66.341.806,424.371.679,92.440.375
Belize,244.211.481,36.906.168,601.192.436,
Bermuda,128.064.148,199.479.861,185.185.182,
Bolivia,248.188.293,168.179.625,508.197.175,8.415.329
Brazil,139.899.348,418.418.787,591.665.131,591.075.326
Barbados,251.830.145,315.661.695,146.511.632,
Brunei Darussalam,618.083.011,1.397.619,721.062.619,999.951.885
Bhutan,408.396.737,87.025.618,720.153.749,
Botswana,241.512.778,28.800.521,193.076.071,746.879.841
Central African Republic,493.563.638,769.030.412,356.120.575,
Canada,742.841.986,220.246.515,381.717.944,731.928.743
Central Europe and the Baltics,186.091.962,170.412.435,340.397.803,762.453.638
Switzerland,113.891.072,234.181.472,316.378.156,487.418.599
Channel Islands,,,404.040.426,
Chile,228.682.518,267.170.993,234.478.119,732.505.438
China,597.673.675,12.223.823,220.253.985,876.704.308
Cote d'Ivoire,209.001.776,722.237.845,327.088.063,2.649.233
Cameroon,567.153.056,769.753.908,402.699.329,383.178.572
"Congo, Dem. Rep.",425.494.471,928.713.111,674.398.034,535.581.414
"Congo, Rep.",458.528.163,623.963.358,654.448.035,404.806.034
Colombia,183.442.053,244.418.091,527.521.054,766.856.926
Comoros,21.502.072,466.155.909,200.967.224,
Cabo Verde,316.210.811,26.196.423,220.694.795,
Costa Rica,175.436.341,378.425.411,533.842.548,498.802.727
Caribbean small states,199.665.342,854.825.287,851.219.211,969.043.426
Cuba,212.962.343,187.984.429,302.480.283,855.964.146
Curacao,,34.898.972,,
Cayman Islands,,0,529.166.659,
Cyprus,182.935.274,936.329.568,186.937.225,92.906.215
Czech Republic,173.912.155,148.307.421,345.117.845,752.785.222
Germany,127.512.206,133.788.782,327.228.432,797.105.269
Djibouti,412.597.275,341.510.475,24.158.757,
Dominica,210.103.075,861.179.767,581.333.313,
Denmark,110.667.045,302.716.313,144.601.094,677.045.581
Dominican Republic,141.880.737,180.190.203,403.601.749,86.563.596
