Country Name;Air Pollution;Energía renovable;Forest Area;Energía Fosil
Aruba;;6.927501542;2.33333326;
Afghanistan;59.01033025;19.31426861;2.067824648;
Angola;32.97402504;50.79746068;46.50742021;48.30559301
Albania;18.88395497;38.68950076;28.1919716;61.42180139
Andorra;10.83041825;19.88632294;34.04255319;
Arab World;52.58360285;4.170017467;1.694674616;95.47834279
United Arab Emirates;37.98342106;0.145671401;4.527457175;86.12834902
Argentina;14.46698041;10.90195793;10.01531075;87.72240748
Armenia;33.08594982;7.72473444;11.6543726;74.56186571
American Samoa;13.31699203;0.700882415;87.89999962;
Antigua and Barbuda;19.72558362;0;22.27272771;
Australia;9.492978752;9.278198457;16.19866446;93.38683566
Austria;13.37922794;35.39427334;46.86208745;64.81315647
Azerbaijan;20.71006751;2.116818616;13.46648537;98.36599003
Burundi;39.38755864;94.59818282;10.56853559;
Belgium;13.2336213;9.073995098;22.55482239;72.65250484
Benin;29.66045567;52.53798821;38.67506208;36.72458133
Burkina Faso;33.96909317;75.24264911;19.7726601;
Bangladesh;68.3953774;37.63448349;10.9979256;73.76893795
Bulgaria;20.74356996;16.96662481;35.05711172;71.04592252
Bahrain;62.75854371;0;0.765239929;99.36584717
Bahamas, The;18.49533328;1.088802769;51.44855145;
Bosnia and Herzegovina;28.77732513;41.74546278;42.67578125;77.52204497
Belarus;19.76605366;6.634180601;42.43716789;92.44037502
Belize;24.42114809;36.90616801;60.11924359;
Bermuda;12.80641477;1.994798608;18.51851819;
Bolivia;24.81882932;16.8179625;50.81971753;84.15328999
Brazil;13.98993477;41.84187872;59.16651312;59.10753264
Barbados;25.18301447;3.156616954;14.65116323;
Brunei Darussalam;6.180830115;0.013976191;72.10626186;99.99518847
Bhutan;40.83967373;87.025618;72.0153749;
Botswana;24.15127779;28.80052102;19.30760714;74.68798407
Central African Republic;49.35636376;76.90304119;35.61205754;
Canada;7.428419864;22.02465154;38.17179436;73.19287432
Central Europe and the Baltics;18.60919623;17.04124349;34.03978031;76.24536377
Switzerland;11.38910719;23.41814723;31.63781558;48.74185988
Channel Islands;;;4.040404256;
Chile;22.86825181;26.71709933;23.44781191;73.25054383
China;59.76736751;12.22382301;22.02539848;87.67043077
Cote d'Ivoire;20.90017764;72.22378455;32.70880626;26.49233002
Cameroon;56.71530558;76.97539079;40.26993294;38.31785719
Congo, Dem. Rep.;42.5494471;92.87131108;67.43980338;5.355814142
Congo, Rep.;45.85281627;62.3963358;65.44480349;40.48060338
Colombia;18.34420526;24.44180909;52.7521054;76.68569263
Comoros;21.50207199;46.61559093;20.09672235;
Cabo Verde;31.62108111;26.19642302;22.06947951;
Costa Rica;17.54363411;37.84254113;53.38425478;49.88027273
Caribbean small states;19.96653424;8.548252869;85.12192105;96.90434258
Cuba;21.29623433;18.79844289;30.24802829;85.59641456
Curacao;;0.348989719;;
Cayman Islands;;0;52.91666587;
Cyprus;18.29352737;9.363295684;18.69372248;92.90621503
Czech Republic;17.39121549;14.83074209;34.51178451;75.27852225
Germany;12.75122057;13.37887823;32.72284322;79.71052694
Djibouti;41.25972754;34.15104745;0.241587571;
Dominica;21.01030747;8.611797666;58.1333313;
Denmark;11.06670453;30.27163128;14.46010938;67.70455812
Dominican Republic;14.1880737;18.01902034;40.36017489;86.56359598
Algeria;35.56391718;0.068640475;0.818057397;99.97791672
East Asia & Pacific (excluding high income);48.12064176;15.85261291;29.73631997;85.49959455
Early-demographic dividend;59.99596877;25.6079937;21.99991113;79.50189014
East Asia & Pacific;44.84952702;13.75344205;26.30092992;86.396153
Europe & Central Asia (excluding high income);24.27557194;6.15118411;38.88892787;89.39678118
Europe & Central Asia;18.39049124;12.6175816;38.02046154;78.37981506
Ecuador;16.23418751;12.21813952;50.83995149;86.88466036
Egypt, Arab Rep.;76.55960126;5.866044914;0.072730927;97.92892979
Euro area;13.22454571;16.0443469;38.16303569;69.41660494
Eritrea;44.37494629;79.9301497;14.99405965;23.1334477
Spain;10.07458883;17.3517358;36.75204461;71.53112185
Estonia;7.705552572;25.32605914;51.3549552;14.49029111
Ethiopia;35.04359745;92.06765188;12.45840039;6.56980663
European Union;13.81144457;16.22013856;37.91391747;71.17039882
Fragile and conflict affected situations;40.10985565;51.73357649;27.47889003;57.57835525
Finland;6.468639868;41.23524065;73.11198131;42.18252679
Fiji;11.92289283;34.57182093;55.40996316;
France;12.28970307;13.34702464;30.82053602;46.22592306
Faroe Islands;;6.535815103;0.057306586;
Micronesia, Fed. Sts.;11.86686885;1.157990361;91.77142552;
Gabon;41.31956969;81.35160969;88.48527186;22.78651631
United Kingdom;10.80055978;7.395220456;12.92522631;82.7165785
Georgia;22.96670742;31.89297634;40.61591455;72.20953534
Ghana;25.8895233;45.04949208;40.90972844;52.54306013
Gibraltar;;0;0;99.51281724
Guinea;21.19667275;78.51787531;26.04590591;
Gambia, The;30.62189539;51.93079476;48.0632405;
Guinea-Bissau;26.94095978;87.06001713;70.48364154;
Equatorial Guinea;44.30179969;7.643274898;56.31372462;
Greece;17.36504185;16.08579272;31.21644724;86.04931718
Grenada;24.28703113;11.07681462;49.97058756;
Greenland;12.51054773;14.90047601;0.000535997;
Guatemala;26.52785542;59.90100231;33.37439252;37.37859696
Guam;12.02255289;0;46.2962963;
Guyana;23.64826569;24.01520131;84.00304801;
High income;14.98694811;11.0149873;28.90282051;81.15670114
Hong Kong SAR, China;;0.858141923;;93.17288162
Honduras;23.16154008;54.04094179;42.11278935;52.47931253
Heavily indebted poor countries (HIPC);36.38687945;77.97924264;30.78781523;22.33194466
Croatia;18.43310352;33.64819127;34.338813;70.70366234
Haiti;16.26222456;78.39123834;3.548621301;22.01589404
Hungary;16.31532793;15.67454982;22.80348948;68.1924014
IBRD only;53.92514774;17.27294405;33.8652555;84.41351004
IDA & IBRD total;51.72516235;22.73420923;31.92524086;80.8474315
IDA total;44.95598192;66.53051165;26.3055112;34.3827013
IDA blend;48.45870018;62.687211;20.28401419;36.23932322
Indonesia;16.45463183;37.45426835;50.61598417;66.08947546
IDA only;43.15482551;70.19819366;28.29846716;32.56583822
Isle of Man;;3.812707071;6.070175506;
India;89.62238269;36.65183786;23.71311674;73.57697909
Not classified;;;;
Ireland;8.750521533;8.520669791;10.86282518;84.43758716
Iran, Islamic Rep.;38.10949306;0.939119651;6.564491066;99.02258055
Iraq;56.56703027;0.91210465;1.90036115;95.98417678
Iceland;6.948896646;76.33887098;0.477805502;10.92848727
Israel;22.05914688;3.680132349;7.523105501;91.74963606
Italy;17.76927084;17.09035884;31.4244924;78.58642262
Jamaica;14.07433169;16.11678991;30.98614834;80.97134481
Jordan;33.20542058;3.130551865;1.09822032;97.60844665
Japan;12.58661692;5.625025887;68.46499783;94.4074689
Kazakhstan;13.74975351;1.305655116;1.225691744;99.17390731
