Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest
Aruba,NA,6.92750154,NA,0.84822781,872.746,NA,2.33333326
Afghanistan,5901033025,19.3142686,NA,2.72454336,9809.225,5.07E+10,2.06782465
Angola,3297402504,50.7974607,48.305593,4.82262555,34763.16,4.96E+10,46.5074202
Albania,1888395497,38.6895008,61.4218014,1.77448677,5716.853,7.57E+10,28.1919716
Andorra,1083041825,19.8863229,NA,2.27768315,462.042,NA,34.0425532
Arab World,5258360285,4.17001747,95.4783428,2.43952842,1895700.32,NA,1.69467462
United Arab Emirates,3798342106,0.1456714,86.128349,4.28430369,211369.547,1.03E+11,4.52745717
Argentina,1446698041,10.9019579,87.7224075,-2.5126153,204024.546,1.24E+11,10.0153108
Armenia,3308594982,7.72473444,74.5618657,3.6,5529.836,4.59E+11,11.6543726
American Samoa,1331699203,0.70088242,NA,0.94488189,NA,NA,87.8999996
Antigua and Barbuda,1972558362,0,NA,3.79572761,531.715,60480000,22.2727277
Australia,9492978752,9.27819846,93.3868357,2.53311545,361261.839,1.10E+11,16.1986645
Austria,1337922794,35.3942733,64.8131565,0.66127285,58712.337,5.70E+10,46.8620875
Azerbaijan,2071006751,2.11681862,98.36599,2.79728938,37487.741,1161350000,13.4664854
Burundi,3938755864,94.5981828,NA,4.24065164,440.04,1.67E+11,10.5685356
Belgium,132336213,9.0739951,72.6525048,1.57852323,93350.819,5.15E+10,22.5548224
Benin,2966045567,52.5379882,36.7245813,6.35183194,6318.241,4.77E+11,38.6750621
Burkina Faso,3396909317,75.2426491,NA,4.32683736,2849.259,3.11E+11,19.7726601
Bangladesh,683953774,37.6344835,73.7689379,6.06105936,73189.653,1.45E+12,10.9979256
Bulgaria,2074356996,16.9666248,71.0459225,1.83752115,42416.189,1.02E+10,35.0571117
Bahrain,6275854371,0,99.3658472,4.35029407,31338.182,1642460000,0.76523993
"Bahamas, The",1849533328,1.08880277,NA,0.73654081,2416.553,295800000,51.4485514
Bosnia and Herzegovina,2877732513,41.7454628,77.522045,1.1480342,22233.021,3135960234,42.6757813
Belarus,1976605366,6.6341806,92.440375,1.72638485,63497.772,1.70E+10,42.4371679
Belize,2442114809,36.906168,NA,3.69237147,495.045,200979677,60.1192436
Bermuda,1280641477,1.99479861,NA,NA,575.719,NA,18.5185182
Bolivia,2481882932,16.8179625,84.15329,5.46056715,20410.522,6584447000,50.8197175
Brazil,1398993477,41.8418787,59.1075326,0.50396179,529808.16,4.84E+11,59.1665131
Barbados,2518301447,3.15661695,NA,-0.1693193,1272.449,467952941,14.6511632
Brunei Darussalam,6180830115,0.01397619,99.9951885,-2.3497467,9108.828,2670000000,72.1062619
Bhutan,4083967373,87.025618,NA,5.77649554,1001.091,5098820000,72.0153749
Botswana,2415127779,28.800521,74.6879841,4.14928989,7033.306,5160300000,19.3076071
Central African Republic,4935636376,76.9030412,NA,0.08107052,300.694,8.94E+10,35.6120575
Canada,7428419864,22.0246515,73.1928743,2.86845397,537193.498,2.04E+11,38.1717944
Central Europe and the Baltics,1860919623,17.0412435,76.2453638,3.04118584,636385.848,NA,34.0397803
Switzerland,1138910719,23.4181472,48.7418599,2.44917953,35305.876,1.17E+11,31.6378156
Channel Islands,NA,NA,NA,NA,NA,NA,4.04040426
Chile,2286825181,26.7170993,73.2505438,1.76673978,82562.505,1.52E+13,23.4478119
China,5976736751,12.223823,87.6704308,7.29951892,10291926.9,NA,22.0253985
Cote d'Ivoire,2090017764,72.2237845,26.49233,8.79407739,11045.004,1.78E+12,32.7088063
Cameroon,5671530558,76.9753908,38.3178572,5.88405933,7003.97,1.87E+12,40.2699329
"Congo, Dem. Rep.",425494471,92.8713111,5.35581414,9.4702881,4671.758,1.09E+12,67.4398034
"Congo, Rep.",4585281627,62.3963358,40.4806034,6.77991616,3094.948,1.74E+11,65.4448035
Colombia,1834420526,24.4418091,76.6856926,4.72831225,84091.644,9.78E+13,52.7521054
Comoros,2150207199,46.6155909,NA,2.10000644,154.014,NA,20.0967224
Cabo Verde,3162108111,26.196423,NA,0.61121267,491.378,8125930500,22.0694795
Costa Rica,1754363411,37.8425411,49.8802727,3.51533856,7759.372,3.18E+12,53.3842548
Caribbean small states,1996653424,8.54825287,96.9043426,0.49330215,63637.118,NA,85.1219211
Cuba,2129623433,18.7984429,85.5964146,1.04757663,34836.5,6779000000,30.2480283
Curacao,NA,0.34898972,NA,-1.1388386,5881.868,NA,NA
Cayman Islands,NA,0,NA,2.65452798,542.716,31953100,52.9166659
Cyprus,1829352737,9.36329568,92.906215,-1.8637398,6061.551,683117000,18.6937225
Czech Republic,1739121549,14.8307421,75.2785222,2.71511613,96475.103,1.05E+12,34.5117845
Germany,1275122057,13.3788782,79.7105269,2.22568875,719883.438,6.12E+11,32.7228432
Djibouti,4125972754,34.1510475,NA,7.06154324,722.399,1.09E+10,0.24158757
Dominica,2101030747,8.61179767,NA,4.44794736,135.679,33740000,58.1333313
Denmark,1106670453,30.2716313,67.7045581,1.61939382,33498.045,2.54E+11,14.4601094
Dominican Republic,141880737,18.0190203,86.563596,7.05046369,21539.958,2.90E+11,40.3601749
Algeria,3556391718,0.06864048,99.9779167,3.8,145400.217,1.31E+12,0.8180574
